,s3ic_id,rubrique,regime,alinea,date_autorisation,state,regime_acte,alinea_acte,rubrique_acte,activite,volume,unit
10113,0065.15548,4130,A,a,,En fonctionnement,A,a,4130,Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation,,
10114,0065.15548,4440,A,1,,En fonctionnement,A,1,4440,"Solides comburants catégorie 1,2 ou 3",,
10115,0065.15548,4150,A,1,,En fonctionnement,A,1,4150,Toxicité spécifique pour certains organes cibles (STOT),,
10116,0065.15548,1510,A,a,,En fonctionnement,A,1,1510,Entrepot autorisé,1560000.000,m3
10117,0065.15548,4110,A,a,,En fonctionnement,A,a,4110,Toxicité aiguë catégorie 1,,
10118,0065.15548,4801,A,1,,En fonctionnement,A,1,4801,"Houille, coke, lignite, charbon de bois, goudron, asphalte, brais et matières bitumineuses",,
10119,0065.15548,2910,D,2,,En fonctionnement,D,2,2910,Combustion,4.000,MW
10120,0065.15548,4320,A,1,,En fonctionnement,A,1,4320,Aérosols extrêmement inflammables ou inflammables de catégorie 1 ou 2,,
10121,0065.15548,2662,E,1,,En fonctionnement,A,1,2662,Stockage de polymères enregistré,288150.000,m3
10122,0065.15548,1530,E,1,,En fonctionnement,A,1,1530,"Papiers, cartons ou analogues (dépôt de) hors ERP et 1510",288150.000,m3
10123,0065.15548,4331,A,1,,En fonctionnement,A,1,4331,Liquides inflammables de catégorie 2 ou catégorie 3,,
10126,0065.15548,1630,A,1,,En fonctionnement,A,1,1630,Soude ou potasse caustique,2500.000,t
10128,0065.15548,1450,A,1,,En fonctionnement,A,1,1450,Solides inflammables,9500.000,t
10131,0065.15548,1511,E,1,,En fonctionnement,A,1,1511,Entrepôts frigorifiques,288150.000,m3
10132,0065.15548,1185,D,,,En fonctionnement,D,a,4802,Quantité susceptible d'être présente,,
10133,0065.15548,2711,E,1,,En fonctionnement,A,1,2711,"Transit, regroupement, tri, ...équipements électriques mis au rebut",15500.000,m3
10134,0065.15548,2925,D,1,,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,1200.000,kW
10135,0065.15548,4330,D,2,,En fonctionnement,D,2,4330,Liquides inflammables de catégorie 1,,
10136,0065.15548,1436,A,1,,En fonctionnement,A,1,1436,Liquides combustibles de point éclair compris entre 60° C et 93° C (stockage ou emploi de),1000.000,t
10137,0065.15548,4511,A,1,,En fonctionnement,A,1,4511,Dangereux pour l'environnement aquatique de catégorie chronique 2,,
10138,0065.15558,2410,D,2,,En fonctionnement,D,2,2410,"Supérieure à 50 kW, mais inférieure ou égale à 250 kW",120.000,kW
10139,0065.15558,2910,,,,En fonctionnement,,,2910,Installation de combustion,0.120,MW
10140,0065.15558,2415,A,1,,En fonctionnement,A,1,2415,Mise en oeuvre de produits de préservation du bois et dérivés,2300.000,L
10141,0065.15558,1436,,,,En fonctionnement,,,1436,Liquides combustibles,5.000,t
10142,0065.15558,2415,A,1,,En fonctionnement,A,1,2415,Mise en oeuvre de produits de préservation du bois et dérivés,12000.000,L
10143,0065.15558,1532,,,,En fonctionnement,,,1532,Stockage de bois ou de matériaux analogues,200.000,m3
10144,0065.15583,2710,E,a,2013-04-03,En fonctionnement,E,2b,2710,collecte de déchets non dangereux-E,334.000,m3
10145,0065.15583,2710,D,b,2013-04-03,En fonctionnement,D,1b,2710,collecte de déchets dangereux-DC,3.100,t
10146,0065.15583,2711,,,2013-04-03,En fonctionnement,,,2711,"Transit, regroupement ou tri de déchets d’équipements électriques et électroniques",70.000,
10147,0065.15605,2921,E,a,2017-09-27,En fonctionnement,E,a,2921,La puissance thermique évacuée maximale étant supérieure ou égale à 3000 kW,5000.000,kW
10148,0065.15605,2560,D,2,2014-06-06,En fonctionnement,D,2,2560,"Supérieure à 150 kW, mais inférieure ou égale à 1 000 kW",481.000,kW
10149,0065.15701,1530,E,1,,En fonctionnement,E,2,1530,"Papiers, cartons ou analogues (dépôt de) hors ERP et 1510",37665.000,m3
10150,0065.15701,1532,D,b,,En fonctionnement,D,2,1532,Stockage bois déclaré,18000.000,m3
10151,0065.15701,2925,D,1,,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,160.000,kW
10152,0065.15701,1510,E,b,,En fonctionnement,E,2,1510,Entrepot enregistré,216726.000,m3
10153,0065.15701,2663,E,a,,En fonctionnement,E,2b,2663,Stockage de pneumatiques,35400.000,m3
10154,0065.15701,2662,E,1,,En fonctionnement,E,2,2662,Stockage de polymères enregistré,35400.000,m3
10155,0065.15705,1530,E,1,2016-10-17,En fonctionnement,A,1,1530,"Papiers, cartons ou analogues (dépôt de) hors ERP et 1510",90000.000,m3
10156,0065.15705,1532,E,a,2016-10-17,En fonctionnement,E,2,1532,Stockage de bois enregistré,25000.000,m3
10157,0065.15705,47xx,,,,En fonctionnement,,,47xx,,,
10158,0065.15705,2910,D,2,2016-10-17,En fonctionnement,D,2,2910,Combustion,1.800,MW
10159,0065.15705,2925,D,1,2016-10-17,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,900.000,kW
10160,0065.15705,2662,E,1,2016-10-17,En fonctionnement,A,1,2662,Stockage de polymères enregistré,50000.000,m3
10161,0065.15705,1510,A,a,2016-10-17,En fonctionnement,A,1,1510,Entrepot autorisé,308677.000,m3
10162,0065.15705,2663,E,a,2016-10-17,En fonctionnement,E,2b,2663,Stockage de pneumatiques,50000.000,m3
10163,0065.15716,1510,E,b,2010-04-13,En fonctionnement,E,2,1510,Entrepot enregistré,65000.000,m3
10164,0065.15728,2221,E,1,,En fonctionnement,E,1,2221,Supérieure à 4t/j,10.000,t/j
10165,0065.15749,1435,,,2016-06-03,En fonctionnement,,,1435,Stations service,23.500,m3
10166,0065.15749,2517,E,1,,En fonctionnement,E,1,2517,Produits minéraux ou déchets non dangereux inertes (transit),32000.000,m2
10167,0065.15749,2515,E,a,,En fonctionnement,E,a,2515,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",1600.000,kW
10168,0065.15749,47xx,,,,En fonctionnement,,,47xx,,,
10169,0065.15749,1434,,,,En fonctionnement,,,1434,Installations de remplissage ou de distribution de liquides inflammables,0.120,
10170,0065.15749,2930,,1,,En fonctionnement,,1,2930,Ateliers de réparation et entretien de véhicules à moteur,450.000,
10171,0065.15780,1530,E,1,,En fonctionnement,A,1,1530,"Papiers, cartons ou analogues (dépôt de) hors ERP et 1510",61000.000,m3
10172,0065.15780,1510,A,a,,En fonctionnement,A,1,1510,Entrepot autorisé,400000.000,m3
10173,0065.15780,47xx,,,,En fonctionnement,,,47xx,,,
10175,0065.15780,2910,,A,,En fonctionnement,,A,2910,Combustion,1.800,
10176,0065.15780,1532,E,a,,En fonctionnement,E,2,1532,Stockage de bois enregistré,45000.000,m3
10177,0065.15780,2925,D,1,,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,300.000,kW
10178,0065.15780,2663,E,a,,En fonctionnement,E,2b,2663,Stockage de pneumatiques,61000.000,m3
10179,0065.15780,2662,E,1,,En fonctionnement,A,1,2662,Stockage de polymères enregistré,61000.000,m3
10180,0065.15785,2712,E,1,2016-03-10,En fonctionnement,E,1b,2712,"Stockage, dépollution, démontage,… de VHU",3299.000,m2
10181,0065.15808,47xx,,,,En fonctionnement,,,47xx,,,
10182,0065.15808,1185,D,,2015-07-01,En fonctionnement,D,,1185,Quantité susceptible d'être présente,3895.400,kg
10184,0065.15808,2925,D,1,2015-07-01,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,1362.000,kW
10185,0065.15808,2910,E,1,2015-07-01,En fonctionnement,E,1,2910,Combustion,40.100,MW
10186,0065.15812,2515,E,a,2015-11-09,En fonctionnement,A,1a,2515,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",750.000,kW
10187,0065.15812,2510,A,1,2015-11-09,En fonctionnement,A,1,2510,Carrières (exploitation de),450000.000,
10188,0065.15828,2910,,A,2014-01-07,En fonctionnement,,A,2910,Combustion,0.070,
10189,0065.15828,2255,A,2,2014-01-07,En fonctionnement,A,2,2255,"Alcools de bouche,eaux-de-vie,liqueurs(stockage)",750.000,m3
10190,0065.15828,1532,,,2014-01-07,En fonctionnement,,,1532,Stockage de bois ou de matériaux analogues,180.000,
10191,0065.15828,1530,,,2014-01-07,En fonctionnement,,,1530,"Dépôts de papiers, cartons ou analogues",10.000,
10192,0065.15828,2925,D,1,2014-01-07,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,40.000,kW
10193,0065.15835,2930,E,a,1991-02-15,En fonctionnement,A,1a,2930,Ateliers de réparation et entretien de véhicules à moteur,5001.000,m2
10194,0065.15838,2980,A,1,2011-09-01,En fonctionnement,A,1,2980,Eoliennes de + de 50 m,6.900,MW
10195,0065.15846,2345,D,2,2012-09-12,En fonctionnement,D,2,2345,NETTOYAGE A SEC DES TEXTILES OU VETEMENTS,15.000,kg
10196,0065.15846,2925,D,1,2012-09-12,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,59.000,kW
10197,0065.15846,1510,E,b,2012-09-12,En fonctionnement,E,2,1510,Entrepot enregistré,92000.000,m3
10198,0065.15902,1435,,,,En fonctionnement,,,1435,Stations service,13.600,
10199,0065.15902,2515,E,a,,En fonctionnement,E,1b,2515,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",322.000,kW
10200,0065.15902,1432,,,,En fonctionnement,,,1432,Liquides inflammables (stockage),0.200,
10201,0065.15902,2516,,,,En fonctionnement,,,2516,Station de transit de produits minéraux pulvérulents,60.000,
10202,0065.15902,2517,D,2,,En fonctionnement,D,3,2517,Produits minéraux ou déchets non dangereux inertes (transit),8000.000,m2
10203,0065.15910,2515,E,a,,En fonctionnement,E,1b,2515,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",350.000,kW
10204,0065.15910,1435,,,2013-04-17,En fonctionnement,,,1435,Stations service,35.000,m3
10205,0065.15910,47xx,,,,En fonctionnement,,,47xx,,,
10206,0065.15910,2517,D,2,,En fonctionnement,D,3,2517,Produits minéraux ou déchets non dangereux inertes (transit),6000.000,m2
10207,0065.15910,4610,,,2013-04-17,En fonctionnement,,,4610,Substances ou mélanges auxquels est attribuée la mention de danger EUH014,,
10208,0065.15910,2791,A,1,,En fonctionnement,A,1,2791,Déchets non dangereux (traitement),600.000,t/j
10209,0065.15910,2716,E,1,,En fonctionnement,A,1,2716,déchets non dangereux non inertes (transit),5000.000,m3
10210,0065.15930,1418,D,3,,En fonctionnement,D,3,1418,Acétylène (stockage ou emploi),0.900,t
10211,0065.15930,3420,A,e,0019-08-19,En fonctionnement,A,e,3420,"non-métaux, oxydes métalliques ou autres composés inorganiques",20.000,
10212,0065.15930,47xx,,,,En fonctionnement,,,47xx,,,
10214,0065.15930,1450,D,2,2020-08-19,En fonctionnement,D,2,1450,Solides inflammables,990.000,kg
10216,0065.15967,1173,,,2013-11-20,En fonctionnement,,,1173,DANGEREUX POUR L'ENVIRONNEMENT - TOXIQUES (STOCKAGE ET EMPLOI),99.900,
10217,0065.15967,2640,A,a,2013-11-20,En fonctionnement,A,2a,2640,Supérieure ou égale à 2 t/j,2.000,t/j
10218,0065.15967,1432,,2,2013-11-20,En fonctionnement,,2,1432,Liquides inflammables (stockage),3.000,
10219,0065.15967,3410,A,j,2013-11-20,En fonctionnement,A,1,2640,colorants et pigments,2.000,
10220,0065.15967,1611,,,2013-11-20,En fonctionnement,,,1611,"ACIDE ACETIQUE, CHLORHYDRIQUE, FORMIQUE,ETC (EMPLOI OU STOCKAGE)",0.200,
10221,0065.15967,2925,D,1,2013-11-20,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,10.000,kW
10223,0065.15967,2515,D,b,2013-11-20,En fonctionnement,D,1c,2515,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",156.000,kW
10224,0065.15967,1172,,,2013-11-20,En fonctionnement,,,1172,DANGEREUX POUR L'ENVIRONNEMENT - TRES TOXIQUES (STOCKAGE ET EMPLOI),19.900,
10225,0065.15967,4510,D,2,,En fonctionnement,D,2,4510,Dangereux pour l'environnement aquatique de catégorie aiguë 1 ou chronique 1,,
10226,0065.15967,1433,D,Bb,2013-11-20,En fonctionnement,D,Bb,1433,LIQUIDES INFLAMMABLES (MELANGE OU EMPLOI),1.000,t
10227,0065.15967,1185,D,,,En fonctionnement,D,a,4802,Quantité susceptible d'être présente,,
10229,0065.15967,2910,,,2013-11-20,En fonctionnement,,,2910,Installation de combustion,1.000,
10230,0065.15967,4330,D,2,,En fonctionnement,D,2,4330,Liquides inflammables de catégorie 1,,
10231,0065.15967,1185,,2,2013-11-20,En fonctionnement,,2,1185,,100.000,
10233,0065.15969,2510,A,1,,En fonctionnement,A,1,2510,Carrières (exploitation de),150000.000,
10234,0065.15969,2515,E,a,,En fonctionnement,A,a,2515,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",800.000,kW
10235,0065.15969,2760,A,b,,En fonctionnement,A,2,2760,Autres installations que celles mentionnées au a,40000.000,
10236,0065.15969,3540,A,1,,En fonctionnement,A,,3540,Installation de stockage de déchets de plus de 25 000 t de capacité,600.000,t/j
10237,0065.15969,3540,A,1,,En fonctionnement,A,,3540,Installation de stockage de déchets de plus de 25 000 t de capacité,28.000,t/j
10238,0065.15969,2517,D,2,,En fonctionnement,D,3,2517,Produits minéraux ou déchets non dangereux inertes (transit),0.000,m2
10239,0065.15975,4321,,,2016-06-01,En fonctionnement,,,4321,Aérosols extrêmement inflammables ou inflammables,,
10240,0065.15975,2663,E,a,2016-06-01,En fonctionnement,A,2a,2663,Stockage de pneumatiques,138000.000,m3
10241,0065.15975,2910,D,2,2016-06-01,En fonctionnement,D,2,2910,Combustion,4.200,MW
10242,0065.15975,2925,D,1,2016-06-01,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,320.000,kW
10243,0065.15975,1532,A,1,2016-06-01,En fonctionnement,A,1,1532,Bois ou analogues (dépôt de) dégageant poussières inflammables,90000.000,m3
10244,0065.15975,4331,D,3,2016-06-01,En fonctionnement,D,3,4331,Liquides inflammables de catégorie 2 ou catégorie 3,,
10245,0065.15975,4320,D,2,2016-06-01,En fonctionnement,D,2,4320,Aérosols extrêmement inflammables ou inflammables de catégorie 1 ou 2,,
10246,0065.15975,2662,E,1,2016-06-01,En fonctionnement,A,1,2662,Stockage de polymères enregistré,138000.000,m3
10247,0065.15975,1510,A,a,2016-06-01,En fonctionnement,A,1,1510,Entrepot autorisé,783000.000,m3
10248,0065.15975,2663,E,a,2016-06-01,En fonctionnement,A,1a,2663,Stockage de pneumatiques alvéolaires ou expansés,138000.000,m3
10249,0065.15975,1436,D,2,2016-06-01,En fonctionnement,D,2,1436,Liquides combustibles de point éclair compris entre 60° C et 93° C (stockage ou emploi de),800.000,t
10250,0065.15975,47xx,,,,En fonctionnement,,,47xx,,,
10251,0065.15975,1530,E,1,2016-06-01,En fonctionnement,A,1,1530,"Papiers, cartons ou analogues (dépôt de) hors ERP et 1510",138000.000,m3
10252,0065.16007,2663,E,a,2020-02-26,En fonctionnement,E,1b,2663,Stockage de pneumatiques alvéolaires ou expansés,18800.000,m3
10253,0065.16007,1510,E,b,2016-05-27,En fonctionnement,E,2,1510,Entrepot enregistré,108982.000,m3
10254,0065.16007,2663,E,a,2020-02-26,En fonctionnement,E,2b,2663,Stockage de pneumatiques,18800.000,m3
10255,0065.16007,1532,D,b,2016-05-23,En fonctionnement,D,3,1532,Stockage bois déclaré,18800.000,m3
10256,0065.16007,2662,E,1,2020-02-26,En fonctionnement,E,2,2662,Stockage de polymères enregistré,18800.000,m3
10257,0065.16007,2663,E,a,2016-05-27,En fonctionnement,E,1b,2663,Stockage de pneumatiques alvéolaires ou expansés,18800.000,m3
10258,0065.16007,1510,E,b,2020-02-26,En fonctionnement,E,2,1510,Entrepot enregistré,108982.000,m3
10259,0065.16007,2925,D,1,2016-05-23,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,500.000,kW
10260,0065.16007,1530,E,1,2020-02-26,En fonctionnement,E,2,1530,"Papiers, cartons ou analogues (dépôt de) hors ERP et 1510",28200.000,m3
10261,0065.16007,2663,E,a,2016-05-27,En fonctionnement,E,2b,2663,Stockage de pneumatiques,18800.000,m3
10262,0065.16007,1530,E,1,2016-05-27,En fonctionnement,E,2,1530,"Papiers, cartons ou analogues (dépôt de) hors ERP et 1510",28200.000,m3
10263,0065.16007,2662,E,1,2016-05-27,En fonctionnement,E,2,2662,Stockage de polymères enregistré,18800.000,m3
10264,0065.16036,2515,E,a,,En fonctionnement,E,1b,2515,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",546.000,kW
10265,0065.16036,2517,D,2,,En fonctionnement,D,3,2517,Produits minéraux ou déchets non dangereux inertes (transit),8935.000,m2
10266,0065.16036,2517,,,,En fonctionnement,,,2517,Station de transit de produits minéraux autres,500.000,m2
10267,0065.16036,3531,A,,,En fonctionnement,A,,3531,Elimination de déchets non dangereux,2500.000,t/j
10268,0065.16036,2716,D,2,,En fonctionnement,D,2,2716,déchets non dangereux non inertes (transit),950.000,m3
10269,0065.16036,2515,D,b,,En fonctionnement,D,c,2515,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",200.000,kW
10270,0065.16036,2791,A,1,,En fonctionnement,A,1,2791,Déchets non dangereux (traitement),2500.000,t/j
10271,0065.16036,2716,E,1,,En fonctionnement,A,1,2716,déchets non dangereux non inertes (transit),19080.000,m3
10272,0065.16078,2564,,,2018-08-03,En fonctionnement,,,2564,"Nettoyage, dégraissage, décapage de surfaces utilisant des liquides organohalogénés ou des solvants organiques",25.000,l
10273,0065.16078,2940,,2,2018-08-03,En fonctionnement,,2,2940,"Vernis, peinture, colle, ... (application, cuisson, séchage)",5.000,kg/j
10274,0065.16078,2910,,,2018-08-03,En fonctionnement,,,2910,Installation de combustion,0.310,MW
10275,0065.16078,2560,,,2018-08-03,En fonctionnement,,,2560,Travail mécanique des métaux et alliages,44.500,kW
10276,0065.16078,2718,A,1,2018-08-03,En fonctionnement,A,1,2718,Déchets dangereux ou contenant des substances ou préparations dangereuses (transit ou tri),2.000,t
10277,0065.16078,2925,D,1,2018-08-03,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,1.500,kW
10278,0065.16078,1185,D,,2018-08-03,En fonctionnement,D,a,4802,Quantité de fluide susceptible d'être présente,,
10279,0065.16078,1185,A,,2018-08-03,En fonctionnement,A,a,4802,Quantité susceptible d'être présente,,
10280,0065.16078,2790,A,,2018-08-03,En fonctionnement,A,,2790,Traitement de déchets dangereux,1.000,
10281,0065.16078,2563,,,2018-08-03,En fonctionnement,,,2563,Nettoyage lessiviel,20.000,l
10282,0065.16102,2716,E,1,,En fonctionnement,A,1,2716,déchets non dangereux non inertes (transit),1280.000,m3
10283,0065.16102,2517,,,,En fonctionnement,,,2517,Station de transit de produits minéraux autres,1560.000,
10284,0065.16102,2718,D,2,,En fonctionnement,D,2,2718,Déchets dangereux ou contenant des substances ou préparations dangereuses (transit ou tri),0.900,t
10285,0065.16102,2714,D,2,,En fonctionnement,D,2,2714,"déchets non dangereux de papiers, plastiques, bois,… (transit) hors 2710,2711 et 2719",900.000,m3
10286,0065.16102,2515,E,a,,En fonctionnement,E,1b,2515,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",360.000,kW
10287,0065.16102,1435,D,2,,En fonctionnement,D,3,1435,Stations-service,240.000,m3
10288,0065.16113,2925,D,1,2013-05-23,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,65.000,kW
10289,0065.16113,1510,E,b,2013-01-23,En fonctionnement,E,2,1510,Entrepot enregistré,158638.000,m3
10290,0065.16143,2662,E,1,,En fonctionnement,A,1,2662,Stockage de polymères enregistré,239335.000,m3
10291,0065.16143,4331,A,1,,En fonctionnement,A,1,4331,Liquides inflammables de catégorie 2 ou catégorie 3,,
10292,0065.16143,47xx,,,,En fonctionnement,,,47xx,,,
10293,0065.16143,4320,A,1,,En fonctionnement,A,1,4320,Aérosols extrêmement inflammables ou inflammables de catégorie 1 ou 2,,
10294,0065.16143,1450,A,1,,En fonctionnement,A,1,1450,Solides inflammables,60.000,t
10295,0065.16143,2925,D,1,,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,1000.000,kW
10296,0065.16143,2663,E,a,,En fonctionnement,A,1a,2663,Stockage de pneumatiques alvéolaires ou expansés,239335.000,m3
10297,0065.16143,4801,D,2,,En fonctionnement,D,2,4801,"Houille, coke, lignite, charbon de bois, goudron, asphalte, brais et matières bitumineuses",,
10298,0065.16143,1185,D,,,En fonctionnement,D,a,4802,Quantité susceptible d'être présente,,
10299,0065.16143,2663,E,a,,En fonctionnement,A,2a,2663,Stockage de pneumatiques,239335.000,m3
10301,0065.16143,1530,E,1,,En fonctionnement,A,1,1530,"Papiers, cartons ou analogues (dépôt de) hors ERP et 1510",239335.000,m3
10302,0065.16143,4321,,,,En fonctionnement,,,4321,Aérosols extrêmement inflammables ou inflammables,,
10303,0065.16143,2714,D,2,,En fonctionnement,D,2,2714,"déchets non dangereux de papiers, plastiques, bois,… (transit) hors 2710,2711 et 2719",1500.000,m3
10304,0065.16143,2910,D,2,,En fonctionnement,D,2,2910,Combustion,1.630,MW
10305,0065.16143,4510,D,2,,En fonctionnement,D,2,4510,Dangereux pour l'environnement aquatique de catégorie aiguë 1 ou chronique 1,,
10306,0065.16143,1511,E,1,,En fonctionnement,A,1,1511,Entrepôts frigorifiques,902110.000,m3
10307,0065.16143,1532,A,1,,En fonctionnement,A,1,1532,Bois ou analogues (dépôt de) dégageant poussières inflammables,239335.000,m3
10308,0065.16143,1436,A,1,,En fonctionnement,A,1,1436,Liquides combustibles de point éclair compris entre 60° C et 93° C (stockage ou emploi de),2500.000,t
10309,0065.16143,1510,A,a,,En fonctionnement,A,1,1510,Entrepot autorisé,1261111.000,m3
10310,0065.16143,4330,D,2,,En fonctionnement,D,2,4330,Liquides inflammables de catégorie 1,,
10311,0065.16143,4511,D,2,,En fonctionnement,D,2,4511,Dangereux pour l'environnement aquatique de catégorie chronique 2,,
10312,0065.16204,2517,E,1,,En fonctionnement,A,1,2517,Produits minéraux ou déchets non dangereux inertes (transit),95000.000,m2
10313,0065.16204,2515,D,b,2012-09-05,En fonctionnement,D,2,2515,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",199.000,kW
10314,0065.16211,3510,A,,,En fonctionnement,A,,3510,Traitement de déchets dangereux,25.000,t/j
10315,0065.16211,2711,D,2,2012-09-05,En fonctionnement,D,2,2711,"Transit, regroupement, tri, ...équipements électriques mis au rebut",940.000,m3
10316,0065.16211,3550,A,,,En fonctionnement,A,,3550,stockage temporaire de déchets,180.000,t
10317,0065.16211,2791,A,1,,En fonctionnement,A,1,2791,Déchets non dangereux (traitement),25.000,t/j
10318,0065.16211,2790,A,,2012-09-05,En fonctionnement,A,2,2790,Traitement de déchets dangereux,5500.000,
10319,0065.16211,2711,D,2,,En fonctionnement,D,2,2711,"Transit, regroupement, tri, ...équipements électriques mis au rebut",940.000,m3
10320,0065.16230,2713,,,,En fonctionnement,,,2713,"Transit, regroupement ou tri de métaux ou de déchets de métaux non dangereux",100.000,
10321,0065.16230,2517,E,1,,En fonctionnement,E,2,2517,Produits minéraux ou déchets non dangereux inertes (transit),12300.000,m2
10322,0065.16230,2515,D,b,,En fonctionnement,D,1c,2515,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",75.000,kW
10323,0065.16357,1435,E,1,1978-11-08,En fonctionnement,E,2,1435,Stations-service,3580.000,m3
10324,0065.16357,1432,D,b,,En fonctionnement,D,2b,1432,Liquides inflammables (stockage),28.000,m3
10325,0065.16366,2517,E,1,,En fonctionnement,E,2,2517,Produits minéraux ou déchets non dangereux inertes (transit),13000.000,m2
10326,0065.16366,2515,D,b,2013-05-14,En fonctionnement,D,2b,2515,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",187.000,kW
10327,0065.16366,2515,E,a,,En fonctionnement,E,1b,2515,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",344.000,kW
10328,0065.16391,2711,D,2,2014-06-05,En fonctionnement,D,2,2711,"Transit, regroupement, tri, ...équipements électriques mis au rebut",200.000,m3
10329,0065.16391,2517,,,2014-06-05,En fonctionnement,,,2517,Station de transit de produits minéraux autres,2500.000,
10330,0065.16391,1432,,2,2014-06-05,En fonctionnement,,2,1432,Liquides inflammables (stockage),0.120,
10331,0065.16391,2713,E,1,2014-06-05,En fonctionnement,A,1,2713,Métaux et déchets de métaux (transit),5000.000,m2
10332,0065.16391,2712,E,1,2014-06-05,En fonctionnement,E,1b,2712,"Stockage, dépollution, démontage,… de VHU",130.000,m2
10333,0065.16391,2791,A,1,2014-06-05,En fonctionnement,A,1,2791,Déchets non dangereux (traitement),400.000,t/j
10334,0065.16391,1435,,,2014-06-05,En fonctionnement,,,1435,Stations service,4.000,
10335,0065.16412,2980,A,1,2015-11-19,En fonctionnement,A,1,2980,Eoliennes de + de 50 m,16.000,MW
10336,0065.16414,2980,A,1,2017-08-22,En fonctionnement,A,1,2980,Eoliennes de + de 50 m,7.500,MW
10337,0065.16415,2980,A,1,2017-08-22,En fonctionnement,A,1,2980,Eoliennes de + de 50 m,7.500,MW
10338,0065.16452,1432,,2,,En fonctionnement,,2,1432,Liquides inflammables (stockage),8.000,
10339,0065.16452,1435,,,,En fonctionnement,,,1435,Stations service,11.000,
10340,0065.16452,2515,E,a,,En fonctionnement,A,1a,2515,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",600.000,kW
10341,0065.16452,2791,A,1,,En fonctionnement,A,1,2791,Déchets non dangereux (traitement),3500.000,t/j
10342,0065.16452,3532,A,,,En fonctionnement,A,,3532,Valorisation de déchets non dangereux,3500.000,t/j
10343,0065.16452,1520,,,,En fonctionnement,,,1520,"Houille, coke,etc (dépôt)",0.000,
10344,0065.16452,1331,,II,,En fonctionnement,,II,1331,"ENGRAIS SIMPLES SOLIDES...BASE NITRATES ,ENGRAIS COMPOSES(STOCKAGE)",6.000,
10345,0065.16452,2790,A,,,En fonctionnement,A,2,2790,Traitement de déchets dangereux,3500.000,
10346,0065.16487,2710,E,a,1995-03-10,En fonctionnement,E,2b,2710,collecte de déchets non dangereux-E,321.000,m3
10347,0065.16487,2710,E,a,,En fonctionnement,E,2b,2710,collecte de déchets non dangereux-E,321.000,m3
10348,0065.16487,2710,D,b,1995-03-10,En fonctionnement,D,1b,2710,collecte de déchets dangereux-DC,6.000,t
10349,0065.16487,2710,D,b,,En fonctionnement,D,1b,2710,collecte de déchets dangereux-DC,6.000,t
10350,0065.16552,4330,D,2,,En fonctionnement,D,2,4330,Liquides inflammables de catégorie 1,,
10351,0065.16552,1450,A,1,,En fonctionnement,A,2a,1450,Solides inflammables,4.000,t
10352,0065.16552,1716,A,1,,En fonctionnement,A,1,1716,Substances radioactives,160000000.000,
10353,0065.16552,2925,D,1,,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,51.000,kW
10354,0065.16552,4331,D,3,,En fonctionnement,D,3,4331,Liquides inflammables de catégorie 2 ou catégorie 3,,
10355,0065.16552,1511,D,2,,En fonctionnement,D,3,1511,Entrepôts frigorifiques,6585.000,m3
10356,0065.16552,1510,A,a,,En fonctionnement,A,1,1510,Entrepot autorisé,360000.000,m3
10357,0065.16555,3532,A,,,En fonctionnement,A,,3532,Valorisation de déchets non dangereux,4500.000,t/j
10358,0065.16555,2791,A,1,,En fonctionnement,A,1,2791,Déchets non dangereux (traitement),4500.000,t/j
